ChineseName,EnglishName,kind,eat,species,Description1,Description2,img
犰狳,Qiu-Yu,Evil,Dont eat human,Terrestrial,又南三百八十里，曰余峨之山，其上多梓楠，其下多荆杞。杂余之水出焉，东流注于黄水。有兽焉，其状如菟而鸟喙，鸱目蛇尾，见人则眠，名曰犰狳，其鸣自訆，见则螽蝗为败,Three hundred and eighty miles to the south is yu'e mountain. There are dense catalpa trees and nanmu trees on the mountain. There are dense Vitex trees and medlar trees under the mountain. The miscellaneous water originates from this mountain and flows into yellow water eastward. There is a kind of wild animal in the mountain. The rabbit in the shape is the beak of a bird. The eyes of a harrier and the tail of a snake lie down and pretend to be dead as soon as they see a person. The name is armadillo. The call is the pronunciation of its own name. As soon as it appears  there will be a grasshopper  which will damage the crops.,qiuyu.jpg
䖪鼠,Zi Mouse,Evil,Dont eat human,Bird,又南三百里，曰栒状之山，其上多金玉，其下多青碧石。有兽焉，其状如犬，六足，其名曰从从，其鸣自詨。有鸟焉，其状如鸡而鼠毛，其名曰䖪鼠，见则其邑大旱,Three hundred miles to the south  there is a mountain with a lot of metal minerals and jade. He has a lot of bluestones and Jasper under his hand. There is a wild animal in the mountain. Its shape is like a dog  six feet. His name is entourage  and his name is his own. There is also a big bird there. Its shape is like chicken  mouse hair  and his name is rat. It is the drought of his fief town.,zishu.jpg
狪狪,Tong-Tong,Auspicious,Dont eat human,Terrestrial,又南三百里，曰泰山，其上多玉，其下多金。有兽焉，其状如豚而有珠，名曰狪狪，其鸣自詨。,A mythical beast. It looks like a wild boar  with beads in its body  and lives in the mountains. Its call is its name.,dongdong.jpg
当康,Dang-Kang,Auspicious,Dont eat human,Terrestrial,又東南二百里，曰欽山，多金玉而無石。師水出焉，而北流注于皋澤，其中多鱃魚，多文貝。有獸焉，其狀如豚而有牙，其名曰當康，其鳴自叫，見則天下大穰。,There is a kind of wild animal inhabited in the mountain. It looks like a pig  but it has big tusks. Its name is dangkang. Its cry is like calling its own name. It is said that when the world wants to get a good harvest  it will come out of the mountain and cry to tell people that the harvest is coming. So although it is not very good-looking  it is a kind of Auspicious beast.,dangkang.jpg
领胡,Ling-Hu,Auspicious,Dont eat human,Terrestrial,又東三百里，曰陽山，其上多玉，其下多金銅。有獸焉，其狀如牛而尾，其頸𦜜，其狀如句瞿，其名曰領胡，其鳴自詨，食之已狂。有鳥焉，其狀如雌雉，而五采以文，是自爲牝牡，名曰象蛇，其鳴自詨。留水出焉，而南流注于河。其中有䱤父之魚，其狀如鮒魚，魚首而彘身，食之已嘔。,Three hundred miles to the East is Yangshan There is a kind of wild animal in the mountain. It looks like an ordinary cow and has a red tail. There are sarcomas on its neck and it looks like a fight. Its name is Linghu. Its call is the pronunciation of its own name. People can cure mania by eating its meat.,linghu.jpg
朱獳,Zhu-Nou,Evil,Dont eat human,Terrestrial,又南三百里，曰耿山，夫草木，多水碧，多大蛇。有兽焉，其状如狐而鱼翼，其名曰朱獳，其鸣自詨，见则其国有恐。,Three hundred miles to the south  there are many big snakes and plants in Geng mountain. There is a kind of wild animal in the mountain. Its shape is like a fox and a fish wing. His name is Zhu Xu. He calls his name. When he sees this country  he will be afraid.,zhunou.jpg
象蛇,Xiang-Snake,Auspicious,Dont eat human,Bird,有鸟焉，其状如赤雉，而五彩以文，是自为牝牡，名曰象蛇，其鸣自狡。,There is also a big bird there  its shape is like a red pheasant  and colorful with text  this is male and female  the name is like a snake  he called his own name.,xiangshe.jpg
精精,Jing-Jing,Auspicious,Dont eat human,Terrestrial,又南水行九百里，曰踇隅之山，其上多草木，多金玉，多赭。有兽焉，其状如牛而马尾，名曰精精，其鸣自詨。,The water runs nine hundred Li to the south. It is a corner mountain. There are dense flowers  plants and trees on the mountain  rich in metal minerals  jade and ochre. There is a kind of wild animal in the mountain. Its shape is like the tail of a cow and a horse. Its name is Jingjing. He called it his own name.,jingjing.jpg
白鵺,White Ye,Auspicious,Dont eat human,Bird,又北百八十里，曰單張之山，其上無草木。有獸焉，其狀如豹而長尾，人首而牛耳，一目，名曰諸犍，善吒，行則銜其尾。居則蟠其尾。有鳥焉，其狀如雉，而文首、白翼、黃足，名曰白鵺，食之已嗌痛，可以已痸。,Eighty miles to the north  there is no vegetation on the mountain. There is a kind of wild animal in the mountain. Its shape is like a leopard with a long tail. The head of a man  a cow  and an eye are called each key. It is good at Zha  and it carries its own tail when it goes. There is a kind of bird in the mountain. Its shape is like a pheasant  while wenshou  white wing  and yellow foot are called Baizhe. It has a sore throat and can stop sleeping.,baiye.jpg
孟槐,Meng-Sophora,Auspicious,Dont eat human,Terrestrial,又北四百里，曰譙明之山。譙水出焉，西流注于河。其中多何羅之魚，一首而十身，其音如吠犬，食之已癰。有獸焉，其狀如貆而赤豪，其音如榴榴，名曰孟槐，可以禦凶。是山也，無草木，多青雄黃。,Four hundred miles to the north  Qiaoming mountain. Qiaoyuan rises and flows into the river in the West. Among them  there are many fish  one of which has ten bodies. His voice is like the barking of a dog  and his food is sore. There is a kind of wild animal in the mountain  whose shape is like Chen and Chihao  and his voice is like pomegranate and pomegranate  whose name is menghuai  which can fight against the fierce. There are no flowers  plants and trees in this mountain  and it is rich in cyan and realgar.,menghuai.jpg
三青鸟,Three-head Black Bird,Auspicious,Dont eat human,Bird,西王母梯几而戴胜。其南有三青鸟，为西王母取食。,There are three green birds in the south of the ladder  which feed on the West King's mother.,sanqingniao.jpg
竦斯,Song-Si,Auspicious,Dont eat human,Bird,又北三百二十里，曰灌題之山，其上多樗柘，其下多流沙，多砥。有獸焉，其狀如牛而白尾，其音如訆，名曰那父。有鳥焉，其狀如雌雉而人面，見人則躍，名曰竦斯，其鳴自呼也。匠韓之水出焉，而西流注于泑澤，其中多磁石。,One hundred and twenty miles to the north  guanti mountain has many chuzhe mountains and deserts. There is a kind of wild animal in the mountain. Its shape is like cattle  white tail  and its voice is like Chen. Its name is that father. There is a kind of bird in the mountain. Its shape is like a female pheasant  but it has a human face. When you see a person  you jump. Its name is Lars  and he calls himself Hoo. It is the origin of South Korea  and the West flows into AOZE  where there are many magnets.,songsi.jpg
磈氏,Wei-Shi,Auspicious,Dont eat human,Terrestrial,又西二百里，曰長留之山，其神白帝少昊居之。其獸皆文尾，其鳥皆文首。是多文玉石。實惟員神磈氏之宮。是神也，主司反景。,Two hundred miles to the west  the Taoist priest left the mountain where SHAOHAO  the God of the White Emperor  lived. The wild animals here are all Wenwei  and the birds are all wenshou. This is a multi-cultural jade. In fact  there is only the palace of Gao  the God of heaven. This is God's  and the main company is the reflection.,weishi.jpg
旄牛,Yak,Auspicious,Dont eat human,Terrestrial,又北二百里，曰潘侯之山，其上多松柏，其下多榛楛，其陽多玉，其陰多鐵。有獸焉，其狀如牛，而四節生毛，或曰旄牛。邊水出焉，而南流注于櫟澤。,Two hundred miles to the north  there are pine and cypress trees all over panhou's mountain. There are many kaishu trees under him. The south of the mountain is rich in jade and iron. There is a kind of wild animal in the mountain. Its shape is like a cow  and its four knots are long. Some people say it is a cow. The source of the edge water flows south into the oak.,yak.jpg
幽鴳,You-Yan,Auspicious,Dont eat human,Terrestrial,有兽焉，其状如禺而文身，善笑，见人则卧，名曰幽鴳，其鸣自呼。,There is a kind of wild animal in the mountain. Its shape is like an ape and its tattoo. It is good at laughing. It sleeps when it sees people. Its name is Youxuan. He calls himself.,youyan.jpg
那父,Na-Fu,Auspicious,Dont eat human,Terrestrial,又北三百二十里，曰灌題之山，其上多樗柘，其下多流沙，多砥。有獸焉，其狀如牛而白尾，其音如訆，名曰那父。,One hundred and twenty miles to the north  guanti mountain  where there are many chuzhe mountains  deserts and blocks at the foot of the mountain. There is a kind of wild animal in the mountain  whose shape is like an ox  white tail  his voice is like Chen  and its name is that father.,nafu.jpg
寓,Yu,Auspicious,Dont eat human,Bird,又北三百八十里，曰虢山，其上多漆，其下多桐椐。其阳多玉，其阴多铁。伊水出焉，西流注于河。其兽多橐驼，其鸟多寓，状如鼠而鸟翼，其音如羊，可以御兵。,Three hundred and eighty miles to the north  Guo mountain is rich in lacquer. Under the mountain  there are thick sycamore trees and trees. The south of the mountain is rich in jade and this kind of iron. The Yishui river originates and flows into the river from the West. Most of the wild animals in the mountain are camels  and the birds are like mice  and the wings of birds. His voice is like a sheep  which can be used as weapons.,yu.jpg
诸犍,Chu-Jian,Auspicious,Dont eat human,Terrestrial,又北百八十里，曰單張之山，其上無草木。有獸焉，其狀如豹而長尾，人首而牛耳，一目，名曰諸犍，善吒，行則銜其尾。居則蟠其尾。有鳥焉，其狀如雉，而文首、白翼、黃足，名曰白鵺，食之已嗌痛，可以已痸。櫟水出焉，在而南流注于杠水。,Eighty miles to the north  there is no vegetation on the mountain. There is a kind of wild animal in the mountain. Its shape is like a leopard with a long tail. The head of a man  a cow  and an eye are called each key. It is good at Zha  and it carries its own tail when it goes. There is a kind of bird in the mountain. Its shape is like a pheasant  while wenshou  white wing  and yellow foot are called Baizhe. It has a sore throat and can stop sleeping. Oak originates and flows into gangshui in the south.,chujian.jpg
长蛇,Long Snake,Evil,Dont eat human,Terrestrial,北二百八十里 曰大咸之山 无草木 其下多玉。是山也 四方 不可以上。有蛇名曰长蛇 其毛如彘豪 其音如鼓柝。,In the north  two hundred and eighty-nine Li  it said that there were no flowers  plants and trees in Daxian mountain  and there were many jades under it. This mountain was square and could not go up. There was a snake called a long snake  whose hair was like a pig's neck  and his voice was like a drum.,changshe.jpg
狡,Jiao,Auspicious,Dont eat human,Terrestrial,有兽焉，其状如犬而豹文，其角如牛，其名曰狡，其音如吠犬，见则其国在穰。,Yushan Mountain is a kind of wild animal in the mountain. It looks like an ordinary dog  but it has leopard markings. The horn on its head is similar to the horn of an ox. its name is cunning  and its voice is like a dog's bark. If it appears in any country  it will make the country rich in grain.,jiao.jpg
何罗鱼,He-Luo Fish,Auspicious,Dont eat human,Aquatic,又北四百里，曰譙明之山。譙水出焉，西流注于河。其中多何羅之魚，一首而十身，其音如吠犬，食之已癰。,He Luo fish is a strange fish with a head and ten bodies. Its cry is like that of a dog. After eating it  it can cure the disease of carbuncle and swelling.,heluoyu.jpg
耳鼠,Ear Mouse,Auspicious,Dont eat human,Terrestrial,有獸焉，其狀如鼠，而菟首麋身，其音如獆犬，以其尾飛，名曰耳鼠，食之不䐆，又可以禦百毒。,There is a kind of wild animal in the mountain. Its shape is like a mouse  while the rabbit head is like an elk. Its voice is like a dog. It flies with its tail. It's called an ear rat. It can't eat it  and it can resist hundreds of poisons.,ershu.jpg
鯥,Lu,Auspicious,Dont eat human,Bird,有鱼焉，其状如牛，陵居，蛇尾有翼，其羽在魼下，其音如留牛，其名曰鯥，冬死而夏生，食之无肿疾。,There is a big fish in it. Its shape is like a cow. I live in it. The tail of a snake has wings. Its feathers are under a plow. Its voice is like a plow ox. its name is a plow. It dies in winter and grows in summer. It has no puffiness.,lu.jpg
类,Lei,Auspicious,Dont eat human,Terrestrial,亶爰之山，多水，无草木，不可以上。有兽焉，其状如狸而有髦，其名曰类，自为牝牡，食者不妒。,There is a wild animal in the mountain. Its shape is like a cat  but it is fashionable. Its name is class. Since it became a mate  people who eat it are not envious.,lei.jpg
鳢鱼,Catfish,Auspicious,Dont eat human,Aquatic,其中多鳢鱼，其状如鳖，其音如羊。,Among them  there are many snakehead fish. Its shape is like a turtle  and its voice is like a sheep.,catfish.jpg
橐蜚,Tuo-Fei,Auspicious,Dont eat human,Bird,有鸟焉，其状如枭，人面而一足，曰橐蜚，冬见夏蜇，服之不畏雷。,It looks like an owl. It has a human face and one foot. It's called Ligularia. Come and go in winter  sleep in summer  put its feathers in clothes  not afraid of thunder.,tuofei.jpg
嚣,Xiao,Auspicious,Dont eat human,Bird,有鸟焉，其状如夸父，四翼一目犬尾，名曰嚣，其音如鹊，食之已腹痛，可以止衕。,There is also a big bird there  its shape is like Kuafu  four wings and a dog's tail  shouting  his voice is like a magpie  eating its stomachache  you can stop it.,xiao.jpg
旋龟,Xuan Turtle,Auspicious,Dont eat human,Aquatic,怪水出焉，而东流注于宪翼之水。其中多玄龟，其状如龟而鸟首虺尾，其名曰旋龟，其音如判木，佩之不聋，可以为底。,Its body appearance is similar to the common tortoise  but the color is red and black  with the head of a bird and the tail of a poisonous snake. It is said that its cry is like the sound of a split wood  which can be worn on the body without deafness. It can also cure calluses on the sole of the foot.,xuangui.jpg
彘,Zhi,Evil,Do eat human,Terrestrial,又东五百里，曰浮玉之山，北望具区，东望诸毗。有兽焉，其状如虎而牛尾，其音如吠犬，其名曰彘，是食人。,Floating in Yushan  there is a wild animal in the mountain. It looks like a tiger but has a tail of a cow. The cry is like a dog barking. Its name is *  it can eat people.,zhi.jpg
肥遗,Fei-Yi Bird,Auspicious,Dont eat human,Bird,有鸟焉，其状如鹑，黄身而赤喙，其名曰肥遗，食之已疠，可以杀虫。,There is also a big bird there  its shape is like a quail  yellow body and red mouth  his name is Feiyi  eating sick  can kill animals.,feiyi.jpg
鹿蜀,Lu-Shu,Auspicious,Dont eat human,Terrestrial,杻阳之山，有兽焉，其状如马而白首，其文如虎而赤尾，其音如谣，其名曰鹿蜀，佩之宜子孙。,Lushu is an animal in ancient Chinese myths and legends. It looks like a horse  with white head and tiger stripes. It has a red tail and sounds like people singing folk songs.,lushu.jpg
葱聋,Cong-Long,Auspicious,Dont eat human,Terrestrial,符禺之水出焉，而北流注于渭。其兽多葱聋，其状如羊而赤鬣。,Fuyu water originates from this mountain and flows northward into Weihe River. Most of the wild animals in the mountain are Cong deaf  whose shape is like sheep and red hyena hair.,conglong.jpg
胜遇,Sheng-Yu,Evil,Dont eat human,Bird,玉山，有鸟焉，其状如翟而赤，名曰胜遇，是食鱼，其音如鹿，见则其国大水。,Yushan  there is a kind of bird in the mountain. Its shape is like a pheasant but its whole body is red. Its name is Shengyu. It eats fish and makes a sound like a deer. If it appears in any country  it will cause floods in that country.,shengyu.jpg
瞿如,Qu-Ru,Auspicious,Dont eat human,Bird,东五百里，曰祷过之山，其上多金玉，其下多犀、兕，多象。有鸟焉，其状如鵁而白首，三足，人面，其名曰瞿如，其鸣自号也。,It's a monster in Chinese mythology. It looks like an ox  but its head is white. It has three feet and its face is like a human. Call is its name,quru.jpg
赤鱬,Red Ru,Auspicious,Dont eat human,Aquatic,青丘之山。英水出焉，南流注于即翼之泽。其中多赤鱬，其状如鱼而人面，其音如鸳鸯，食之不疥。,Chiku is a kind of fish with human face in Chinese legend. Human face and voice are like mandarin ducks and children's cries. Eating them can cure the disease.,chiru.jpg
鴖,Min,Auspicious,Dont eat human,Bird,符禺山鸟多鴖，似翠赤喙，可以御火。,Fuyu mountain is full of crows  which are like the emerald red mouth. It can ward off fire.,min.jpg
猼訑,Bo-Yi,Auspicious,Dont eat human,Terrestrial,又东三百里，曰基山，其阳多玉，其阴多怪木。有兽焉，其状如羊，九尾四耳，其目在背，其名曰猼訑，佩之不畏。,It's like a sheep with nine tails and four legs. Its eyes are on its back and its fur makes people not afraid.,boyi.jpg
豪彘,Porcupine,Auspicious,Dont eat human,Terrestrial,竹山，有兽焉，其状如豚而白毛，毛大如笄而黑端，名曰豪彘。,There is a wild animal in Zhushan mountain. Its shape is like a pig  white hair  hairy as hairpin  black end  and its name is Haoyu.,haozhi.jpg
虎蛟,Tiger Jiao,Auspicious,Dont eat human,Aquatic,泿水出焉，而南流注于海。其中有虎蛟，其狀魚身而蛇尾，其音如鴛鴦，食者不腫，可以已痔。,The water rises from the river and flows southward into the sea. Among them are the tiger Jiao. He looks like a fish body and the tail of a snake. His voice is like a mandarin duck  and his food is not swollen. He can cure hemorrhoids.,hujiao.jpg
猾褢,Hua-Huai,Auspicious,Dont eat human,Terrestrial,有兽焉，其状如人而彘鬣，穴居而冬蛰，其名曰猾褢，其音如斫木，见则县有大繇。,There is a kind of wild animal in the mountain. Its shape is like a man  a hyena. It lies in a cave in winter. Its name is cunning Chi. Its sound is like cutting wood. There is a road in that county.,huahuai.jpg
羬羊,Qian Goat,Auspicious,Dont eat human,Terrestrial,华山之首，曰钱来之山，其上多松，其下多洗石。有兽焉，其状如羊而马尾，名曰羬羊，其脂可以已腊。,Cuanyang is a kind of animal name in ancient myths and legends. It comes from qianlai mountain. Its shape is like a sheep  but it has the tail of a horse. Its oil moisturizes dry skin.,qianyang.jpg
栎,Dong,Auspicious,Dont eat human,Bird,有鸟焉，其状如鹑，黑文而赤翁，名曰栎，食之已痔。,There was also a big bird there. Its shape was like a quail. It was black and red. Its name was Dong. It had hemorrhoids.,dong.jpg
朱厌,Zhu-Yan,Evil,Dont eat human,Terrestrial,又西四百里，曰小次之山，其上多白玉，其下多赤铜。有兽焉，其状如猿，而白首赤足，名曰朱厌，见则大兵。,The fierce beast in ancient Chinese mythology is like an ape with white head and red feet. It's said that the world will have a big war as soon as the beast appears,zhuyan.jpg
鸾鸟,Luan Bird,Auspicious,Dont eat human,Bird,有鸟焉，其状如翟而五采文，名曰鸾鸟，见则天下安宁。,There is also a big bird there. Its shape is like Zhai's colorful feathers. Its name is Xiao Luan. When it appears  the world is peaceful.,luanniao.jpg
羅羅,Luo-Luo,Evil,Do eat human,Bird,西三百五十里，曰莱山，其木多檀楮，其鸟多罗罗，是食人。,Three hundred and fifty miles to the west  Laishan is called. Its wood is mostly Tanchu and its birds are mostly Luoluo. It is cannibal.,luoluo.jpg
羭山神,Black Ram Mountain God,Auspicious,Dont eat human,Terrestrial,凡《西經》之首，自錢來之山至于騩山，凡十九山，二千九百五十七里。華山冢也，其祠之禮：太牢。羭山神也，祠之用燭，齋百日以百犧，瘞用百瑜，湯其酒百樽，嬰以百珪百璧。其餘十七山之屬，皆毛牷用一羊祠之。燭者百草之未灰，白蒂采等純之。,The God of Mount Zan is magical and powerful. He sacrifices to the God of Mount Zan by candlelight. After fasting for 100 days  he uses 100 animals with pure fur color  buries them in the ground with 100 pieces of Yu  burns 100 bottles of wine  and uses 100 pieces of jade and 100 pieces of jade.,yushanshen.jpg
灌灌,Guan-Guan,Auspicious,Dont eat human,Bird,﹝ 青丘之山 ﹞有鸟焉，其状如鸠，其音若呵，名曰灌灌，佩之不惑。,[Qingqiu mountain] there is a kind of bird in the mountain. Its shape is like a chicken  and its voice is like ah. Its name is Guanguan. Carry it can not be confused.,guanguan.jpg
數斯,Shu-Si,Auspicious,Dont eat human,Bird,皋涂之山，有鸟焉，其状如鸱而人足，名曰数斯，食之已瘿。,Gaotu mountain  there is a kind of bird in the mountain. Its shape is like a harrier Eagle but it has human feet. Its name is Shusi. Eating its meat can cure the tumor on the neck.,shusi.jpg
舉父,Ju-Fu,Auspicious,Dont eat human,Terrestrial,有兽焉，其状如禺而文臂，豹虎而善投，名曰举父。,It is said that tigers and leopards are afraid of it. They also have the habit of touching their heads,jufu.jpg
鵕鳥,Jun Bird,Evil,Dont eat human,Bird,鼓 亦化为鵕鸟，其状如鸱，赤足而直喙，黄文而白首，其音如鹄，见则其邑大旱。,The drum also became a hummingbird. Its shape was like a bird  red feet  straight mouth  yellow article and white head. His voice was like a swan. It was the great drought in his fiefdom.,qunniao.jpg
文鰩魚,Flying Fish,Auspicious,Dont eat human,Aquatic,是多文鳐鱼，状如鲤鱼，鱼身而鸟翼，苍文而白首，赤喙，常行西海，游于东海，以夜飞。,This is a multi-cultural ray  shaped like a carp  with a body and wings of a bird  a white head and a red mouth. It often goes to the West Sea  swims in the East China Sea  and flies at night.,wenyaoyu.jpg
槐江山天神,Huai-Jiang Mountain God,Evil,Dont eat human,Terrestrial,有天神焉，其状如牛，而八足二首马尾，其音如勃皇，见则其邑有兵。,There is a God  its shape is like a cow  and eight foot two horse tail  his voice is like Liu Huang  see then his town has war.,huaijiangshantianshen.jpg
陸吾神,Lu-Wu God,Auspicious,Dont eat human,Terrestrial,西南四百里，曰昆仑之丘，是实惟帝之下都，神陆吾司之。其神状虎身而九尾，人面而虎爪；是神也，司天之九部及帝之囿时。,"Luwu  also known as ""Jianwu""  is the mountain god of Kunlun Mountain in ancient Chinese legends  whose image is human face  tiger claw  tiger body and nine tail. It is said that he is the official son of the Yellow Emperor  who is responsible for guarding the ""capital under the emperor""  ""the limited time of the emperor"" and ""the nine parts of heaven"".",luwu.jpg
土螻,Earth Lou,Evil,Do eat human,Terrestrial,昆仑之丘，有兽焉，其状如羊而四角，名曰土蝼，是食人。,There is a wild animal in the Kunlun Mountains. Its shape is like a four horned sheep. Its name is earth mole. It eats people.,tulou.jpg
䱻魚,Hua Fish,Evil,Dont eat human,Aquatic,又西三百七十里，曰樂遊之山。桃水出焉，西流注于稷澤，是多白玉，其中多䱻魚，其狀如蛇而四足，是食魚。,And three hundred and seventy miles to the West for pleasure. The birthplace of peach water flows westward into Jize  which is rich in white jade. Many of them are fish  whose shape is like a snake and four feet. This is fish eating.,huayu.jpg
長乘神,Chang-Cheng God,Auspicious,Dont eat human,Terrestrial,西水行四百里，曰流沙，二百里至于蠃母之山，神长乘司之，是天之九德也。其神状如人而犳尾。,And the waters of the West went four hundred leagues  and said  quicksand  two hundred leagues  even to mount nuth  which is the nine virtues of heaven: and the gods of the mountains were like men  but they could not find their tail.,changcheng.jpg
欽原,Qing-Yuan,Evil,Dont eat human,Insect,西南四百里，曰昆仑之丘，有鸟焉，其状如蜂，大如鸳鸯，名曰钦原，蠚鸟兽则死，蠚木则枯。,Qinyuan is one of the mythical beasts in ancient times. The shape is like a bee  the size is like a mandarin duck  the animals and birds will die when stinging  and the trees and trees will wither when stinging.,qinyuan.jpg
鱄魚,Zhuan Fish,Evil,Dont eat human,Aquatic,其中有鱄鱼，其状如鲋而彘毛，其音如豚，见则天下大旱。,Among them  there are fresh fish  whose shape is like crucian carp  pig hair  and his voice is like a pig. When it appears  there will be a severe drought in the world.,zhuanyu.jpg
